"SITECODE","loss_year","pixel_count","year","disturbed_ha"
"CZ0210008",14,1,2014,0.09
"CZ0210023",12,1,2012,0.09
"CZ0210023",13,1,2013,0.09
"CZ0210023",21,0.48691625520587,2021,0.0438224629685283
"CZ0210043",4,1,2004,0.09
"CZ0210043",5,5.98095160722733,2005,0.538285644650459
"CZ0210043",9,2.01527218520641,2009,0.181374496668577
"CZ0210043",10,8.65618585521588e-06,2010,7.79056726969429e-07
"CZ0210043",11,1.84104470908642,2011,0.165694023817778
"CZ0210043",12,1.55699998140335,2012,0.140129998326302
"CZ0210043",13,3.59191560745239,2013,0.323272404670715
"CZ0210043",15,8.73096207994968,2015,0.785786587195471
"CZ0210043",16,2.99312472343445,2016,0.2693812251091
"CZ0210043",18,3.24168384075165,2018,0.291751545667648
"CZ0210043",19,0.177688091993332,2019,0.0159919282793999
"CZ0210043",20,7.84569566976279,2020,0.706112610278651
"CZ0210043",21,31.712227981232,2021,2.85410051831088
"CZ0210043",22,8.14641059935093,2022,0.733176953941584
"CZ0210043",23,34.0858889222145,2023,3.06773000299931
"CZ0210047",4,0.280332572758198,2004,0.0252299315482378
"CZ0210047",5,0.0868169185705483,2005,0.00781352267134935
"CZ0210047",6,0.210532903671265,2006,0.0189479613304138
"CZ0210047",7,10.0990405641496,2007,0.908913650773466
"CZ0210047",9,0.64783775806427,2009,0.0583053982257843
"CZ0210047",11,6,2011,0.54
"CZ0210047",12,0.740647211670876,2012,0.0666582490503788
"CZ0210047",16,0.144810244441032,2016,0.0130329219996929
"CZ0210047",19,5,2019,0.45
"CZ0210047",20,74.2811924782582,2020,6.68530732304323
"CZ0210047",21,76.2147613398265,2021,6.85932852058439
"CZ0210047",22,29.9835258051753,2022,2.69851732246578
"CZ0210047",23,1.34050606144865,2023,0.120645545530379
"CZ0210053",2,14.9103336722401,2002,1.34193003050161
"CZ0210053",4,3.63391842320561,2004,0.327052658088505
"CZ0210053",5,0.868668347597122,2005,0.078180151283741
"CZ0210053",7,2.34439742565155,2007,0.21099576830864
"CZ0210053",8,4.28314965218306,2008,0.385483468696475
"CZ0210053",9,0.895205140113831,2009,0.0805684626102448
