COUNTRY,NAME_1,SITECODE,disturbed_ha_inside,percent_disturbed_site
Czechia,Moravskoslezský,CZ0711017,3811.54010320467,9.373022874010358
Czechia,Moravskoslezský,CZ0811022,3129.50829190403,14.008946114818968
Czechia,Moravskoslezský,CZ0810018,223.490624672422,11.543732723803686
Czechia,Olomoucký,CZ0711019,7040.9203274223,29.95569342274801
Czechia,Olomoucký,CZ0714133,2529.76457929611,33.351001837473184
Czechia,Olomoucký,CZ0711016,1110.0904957501,5.531082412085469
Czechia,Pardubický,CZ0530146,103.837578580742,7.783815429646074
Czechia,Pardubický,CZ0530033,84.8899697745103,12.625998467360116
Czechia,Pardubický,CZ0530020,47.4593603882461,7.1387430539266505
Czechia,Plzeňský,CZ0320180,210.849007054919,12.427255265441376
Czechia,Plzeňský,CZ0320030,97.4737696685757,14.502298986039397
Czechia,Plzeňský,CZ0320053,62.8254380533045,6.770662770062717
Czechia,Prague,CZ0213779,12.5292070763838,3.875888609521421
Czechia,Prague,CZ0110142,1.85407799005508,1.6994417559731596
Czechia,Prague,CZ0110040,0.72,1.4433630429377153
Czechia,Středočeský,CZ0211001,1800.25553860554,7.678463649205184
Czechia,Středočeský,CZ0214013,681.535150472034,9.274692815080076
Czechia,Středočeský,CZ0210101,386.714167022709,12.218490571720007
Czechia,Zlínský,CZ0724089,9550.29589376095,11.561657068872464
Czechia,Zlínský,CZ0724091,1406.57296832257,11.409117263274585
Czechia,Zlínský,CZ0721023,1341.46878016192,8.570695793091913
Czechia,Ústecký,CZ0421006,5287.12165891454,25.695382929953066
Czechia,Ústecký,CZ0424031,3342.77012949064,47.54369727899353
Czechia,Ústecký,CZ0421004,492.448548414006,5.060013681204581
Denmark,Hovedstaden,DK007X080,797.262808954501,21.60615963535621
Denmark,Hovedstaden,DK003X108,700.777105183812,14.018969632228117
Denmark,Hovedstaden,DK003X207,700.697516839346,14.228030959585936
Denmark,Midtjylland,DK00DZ153,625.431156105201,14.471313696638417
Denmark,Midtjylland,DK00DZ034,614.174642355983,15.111550884894791
Denmark,Midtjylland,DK00DX300,259.456363982465,11.593771160912047
Denmark,Nordjylland,DK00FX126,1245.6127816001,18.36498243184134
Denmark,Nordjylland,DK00FX004,1084.45106863292,20.348647384833786
Denmark,Nordjylland,DK00FX007,368.443719902927,5.686191199337058
Denmark,Sjælland,DK006X092,125.383876599781,10.340849492881752
Denmark,Sjælland,DK004X216,98.2628807011235,9.047094997757446
Denmark,Sjælland,DK006Y091,64.6595924045239,4.833782919672848
Denmark,Syddanmark,DK00AX173,450.920969680442,4.899584680384103
Denmark,Syddanmark,DK008X074,286.156770595238,15.0616572668475
Denmark,Syddanmark,DK008X194,255.170479913098,18.110559564914215
Estonia,Harju,EE0010106,260.115314525776,2.399829343068409
Estonia,Harju,EE0010108,88.3586152984229,4.1373095810938505
Estonia,Harju,EE0010102,14.4127478315122,3.843853176592042
Estonia,Hiiu,EE0040122,56.6847015296517,2.5294838502804278
Estonia,Hiiu,EE0040116,41.9998446514094,1.3917023956074446
Estonia,Hiiu,EE0040135,35.6728471305695,1.406244258914541
Estonia,Ida-Viru,EE0070103,382.635354266418,2.926976596157789
Estonia,Ida-Viru,EE0070172,382.076840611451,2.72305456447449
Estonia,Ida-Viru,EE0070173,265.844279257696,5.263343768351756
Estonia,Järva,EE0060171,384.94687954807,2.0638619780005243
Estonia,Järva,EE0060119,329.723804612051,1.959746147314527
Estonia,Järva,EE0060121,85.4766401413997,6.293251831222836
Estonia,Jõgeva,EE0080172,250.366625457837,3.2581299159119723
Estonia,Jõgeva,EE0080108,25.9310556051519,1.4336811478681228
Estonia,Jõgeva,EE0080306,21.6867712955368,1.84854238863773
Estonia,Lääne,EE0040202,318.62882073796,1.884873203888079
Estonia,Lääne,EE0040203,161.721108808008,2.5962149403123873
Estonia,Lääne,EE0040201,81.4814964081154,0.41879181065156545
Estonia,Lääne-Viru,EE0060209,212.058400232252,4.940969658144195
Estonia,Lääne-Viru,EE0020205,95.142294183308593,1.9183625290076354
Estonia,Lääne-Viru,EE0060207,54.6084955498556,5.62676205218885
Estonia,Peipsi,EE0080112,1.44860490906984,0.10519537938780699
Estonia,Peipsi,EE0080319,0.198994516432285,0.001946932646101324
Estonia,Peipsi,EE0070126,0.0988871378079057,5.228421006699079e-4
Estonia,Pärnu,EE0040344,466.268101196479,3.3187551192868376
Estonia,Pärnu,EE0040316,269.999037318925,3.445349437769744
Estonia,Pärnu,EE0040351,182.12998315889,1.7602934381683473
Estonia,Põlva,EE0080217,70.6600018934299,8.38753252385657
Estonia,Põlva,EE0080234,68.7039216072346,2.4829734738486984
Estonia,Põlva,EE0080204,66.5560570527259,3.0208292520705906
Estonia,Rapla,EE0020341,338.824206342895,2.474876568705306
Estonia,Rapla,EE0020325,172.394273404193,1.848519488000652
Estonia,Rapla,EE0020314,102.454792485827,2.9402847039336546
Estonia,Saare,EE0040472,81.3919199218741,4.481095571294793
Estonia,Saare,EE0040457,72.968240852952,24.7242271117511
Estonia,Saare,EE0040443,69.1778353750885,1.6400591529908286
Estonia,Tartu,EE0080374,178.336110647839,0.7018956299499443
Estonia,Tartu,EE0080371,81.2593857319721,4.296135185200817
Estonia,Tartu,EE0080323,62.9797205548376,0.24606501098703212
Estonia,Valga,EE0080401,1198.58353229343,6.733134893032389
Estonia,Valga,EE0080471,109.944442976072,4.3789677944604035
Estonia,Valga,EE0080421,89.6789104408895,4.1421424777771465
Estonia,Viljandi,EE0080574,401.952416034196,1.284017405915526
Estonia,Viljandi,EE0080573,20.4141858893773,1.1944134215787394
Estonia,Viljandi,EE0080520,8.08189122485113,4.8659159198832596
Estonia,Võru,EE0080613,1397.75614978154,10.856546458155114
Estonia,Võru,EE0080671,314.585467256934,3.131059365228381
Estonia,Võru,EE0080672,84.9834730828438,4.178466573152993
Finland,Eastern Finland,FI0500013,1221.5985642211,4.1143163578510515
Finland,Eastern Finland,FI0700011,1130.16937222422,14.739331854333052
Finland,Eastern Finland,FI0500026,508.3812686412,4.602378834851607
Finland,Lapland,FI1302002,480.984440013114,0.12301624359618395
Finland,Lapland,FI1300105,444.275882793231,0.1560543780830403
Finland,Lapland,FI1301104,201.484655824233,2.216599677190122
Finland,Oulu,FI1105413,1034.27096435534,14.972944192325544
Finland,Oulu,FI1103829,465.133770229748,1.8631406365206504
Finland,Oulu,FI1105408,272.160171990742,20.41046347803762
Finland,Southern Finland,FI0100051,385.003844024369,22.47451853658699
Finland,Southern Finland,FI0424002,225.784290932298,37.35692519268604
Finland,Southern Finland,FI0422005,149.167757463438,40.5284707066272
Finland,Western Finland,FI0325001,731.09668337871,11.627528284237341
Finland,Western Finland,FI0327003,692.949226918759,15.78355264692273
Finland,Western Finland,FI0200024,449.245745364617,13.291694092237677
France,Auvergne-Rhône-Alpes,FR8312002,1468.83101327848,3.258823028027255
France,Auvergne-Rhône-Alpes,FR7412001,1430.98681565339,4.684056314441503
France,Auvergne-Rhône-Alpes,FR8312009,902.999571453893,1.9466712529959036
France,Bourgogne-Franche-Comté,FR2601016,1473.60926980266,4.720489372267227
France,Bourgogne-Franche-Comté,FR4312028,1442.5193999307,9.983519692445634
France,Bourgogne-Franche-Comté,FR4301346,1442.51927836955,9.983521766073855
France,Bretagne,FR5300013,305.560769963455,5.344582731840232
France,Bretagne,FR5300039,125.937073230324,13.220599760020265
France,Bretagne,FR5300014,122.695078045721,11.601358063148805
France,Centre-Val de Loire,FR2402001,14918.8747109391,7.328503652629105
France,Centre-Val de Loire,FR2410016,2810.02732167618,12.017056208363591
France,Centre-Val de Loire,FR2410018,2221.25777954074,10.394245408108654
France,Corse,FR9410113,238.427769207465,2.226929207128858
France,Corse,FR9400577,214.966232892519,2.0601650724153906
France,Corse,FR9400592,125.853616261569,9.265585763901017
France,Grand Est,FR2112013,6838.11624848039,14.931144419531364
France,Grand Est,FR4100171,1982.04418918545,20.898016263668936
France,Grand Est,FR2112011,1048.85808736204,1.8994853171778088
France,Hauts-de-France,FR2212001,962.098334950814,5.781058718753602
France,Hauts-de-France,FR2212005,470.086868176356,6.377871088480378
France,Hauts-de-France,FR3112001,441.283156422812,7.760865846691388
France,Normandie,FR2512004,1176.38301037503,4.287792369203172
France,Normandie,FR2500106,94.2228502214877,3.7047833978218434
France,Normandie,FR2502015,62.1626190157281,1.5833867833829514
France,Nouvelle-Aquitaine,FR7412003,9058.20868749852,18.168607836545508
France,Nouvelle-Aquitaine,FR7210078,845.829871268599,9.471651877783579
France,Nouvelle-Aquitaine,FR7401105,837.318087087542,15.917531759305165
France,Occitanie,FR9110033,2410.85168181549,3.853987445779519
France,Occitanie,FR9110105,1853.54285568101,7.134503178816347
France,Occitanie,FR9112033,1566.21451085431,8.278736225473935
France,Pays de la Loire,FR5200647,399.333228602216,11.030948870376161
France,Pays de la Loire,FR5410100,202.88439739083,0.5377959579934013
France,Pays de la Loire,FR5212005,189.618472221717,6.754191993411925
France,Provence-Alpes-Côte d'Azur,FR9301605,1379.6622802472,7.857447696990776
France,Provence-Alpes-Côte d'Azur,FR9302007,1061.28771761387,4.129898314431918
France,Provence-Alpes-Côte d'Azur,FR9312012,1061.28771761387,4.129898314431918
France,Île-de-France,FR1100795,619.390639127566,3.211060149711189
France,Île-de-France,FR1110795,619.246767036363,3.2106377631873517
France,Île-de-France,FR1112011,437.592061712972,4.25694421448561
Germany,Baden-Württemberg,DE7415441,2211.1715267251,7.6603667825444575
Germany,Baden-Württemberg,DE8114441,1554.05840293816,7.186468169045819
Germany,Baden-Württemberg,DE7915441,960.00090048911,5.90508938948536
Germany,Bayern,DE6946301,4409.21729683069,28.077012826645536
Germany,Bayern,DE6946401,4394.55105798308,28.13549638964108
Germany,Bayern,DE6533471,1419.31173605524,4.7443361600963385
Germany,Berlin,DE3445301,11.2351530510932,1.3089751927034325
Germany,Berlin,DE3548301,9.99179520819336,0.860846853748346
Germany,Berlin,DE3545301,6.94240467882716,0.5618492423672963
Germany,Brandenburg,DE4151421,1862.18259345635,3.401199688344678
Germany,Brandenburg,DE2746401,1295.87302707586,2.744687776492239
Germany,Brandenburg,DE4447421,1099.86907876376,8.847793667727565
Germany,Bremen,DE2717301,0.8052567923069,5.163503139669494
Germany,Bremen,DE2817401,0.72,0.11986726807102954
Germany,Bremen,DE2818401,0.597088595330715,0.032539867148093586
Germany,Hamburg,DE2525301,10.6974585229601,2.0420749955410606
Germany,Hamburg,DE2327302,5.35594848811626,1.706865921315158
Germany,Hamburg,DE2324302,2.36846678584814,5.103687670265098
Germany,Hessen,DE4917401,4584.13372755895,22.300827927513055
Germany,Hessen,DE5421401,3341.90167128455,8.722375028229276
Germany,Hessen,DE5022401,2947.16587337561,14.713385361939965
Germany,Mecklenburg-Vorpommern,DE2339402,1062.53070055375,4.835805765676978
Germany,Mecklenburg-Vorpommern,DE2642401,472.007958884162,1.4951293236146799
Germany,Mecklenburg-Vorpommern,DE2645402,404.30551634537,2.3939677711104936
Germany,Niedersachsen,DE4129302,6723.05371225049,58.65754691968904
Germany,Niedersachsen,DE4229402,6680.11712633297,59.03703872430284
Germany,Niedersachsen,DE2725301,728.509733855434,3.8680083165670123
Germany,Nordrhein-Westfalen,DE4514302,2677.23732805157,50.87712419462367
Germany,Nordrhein-Westfalen,DE4419401,1870.60357882521,40.517717251566154
