X,SITECODE,forest_ha_inside,forest_ha_buffer,disturbed_ha_inside,disturbed_ha_buffer,undisturbed_ha_inside,undisturbed_ha_buffer,member_state
56,CZ0210028,102.852982177734,1433.22987304687,4.94556505062617,180.053455709356,97.9074171271082,1253.17641733752,CZ
57,CZ0110049,1.61888900756836,346.092846679688,0,1.24528203248978,1.61888900756836,344.847564647198,CZ
58,CZ0113001,1.14492095947266,265.311606445313,0,0.54,1.14492095947266,264.771606445312,CZ
59,CZ0313119,2.85442914962769,287.001232910156,1.110419232032,83.0037317462568,1.74400991759569,203.997501163899,CZ
60,CZ0323143,5.29456146240234,292.89041015625,0,4.91650553677697,5.29456146240234,287.973904619473,CZ
61,CZ0323637,4.6263987896964e-5,218.466870117188,0,19.9512103714049,4.6263987896964e-5,198.515659745783,CZ
62,CZ0113002,7.18630966186523,312.312084960938,0,2.06865585453808,7.18630966186523,310.243429106399,CZ
63,CZ0323645,0.0224376145005226,215.10087890625,0,48.7813013193011,0.0224376145005226,166.319577586949,CZ
64,CZ0412069,0.334474618434906,229.293918457031,0,16.4330900014658,0.334474618434906,212.860828455565,CZ
65,CZ0424140,8.33517951965332,335.177907714844,0,0.36,8.33517951965332,334.817907714844,CZ
66,CZ0522129,8.90282936096191,312.815610351562,0.0981695446372032,28.906305534672,8.80465981632471,283.90930481689,CZ
67,CZ0210003,1.50361152648926,293.699377441406,0.254992843545042,129.160057263519,1.24861868294422,164.539320177887,CZ
68,CZ0210011,11.9446820068359,324.931333007812,0.00517777919769287,2.63966100944672,11.9395042276382,322.291671998366,CZ
69,CZ0210008,21.6201736450195,362.854423828125,0.09,0,21.5301736450195,362.854423828125,CZ
70,CZ0523675,0.249248328208923,233.976774902344,0,3.37754821524024,0.249248328208923,230.599226687104,CZ
71,CZ0533310,5.53593280792236,335.359973144531,0,10.1761553806392,5.53593280792236,325.183817763892,CZ
72,CZ0210023,3.46990539550781,306.703872070313,0.223822462968528,27.0324897632562,3.24608293253928,279.671382307056,CZ
73,CZ0210043,111.61810546875,1452.34107421875,10.1627887189726,262.9653396682,101.455316749777,1189.37573455055,CZ
74,CZ0210029,6.9932112121582,368.571687011719,0,16.2032128431648,6.9932112121582,352.368474168554,CZ
75,CZ0210047,140.118178710938,1061.55861328125,18.4527003472231,80.9862723567789,121.665478363714,980.572340924471,CZ
76,CZ0210053,162.945505371094,1499.4720703125,4.06835444393677,122.249424112035,158.877150927157,1377.22264620046,CZ
77,CZ0210054,117.242556152344,816.1790625,6.84722662227228,118.049479159979,110.395329530071,698.129583340021,CZ
78,CZ0210058,18.0883232116699,410.753056640625,0,19.8852295591682,18.0883232116699,390.867827081457,CZ
79,CZ0210062,20.6573785400391,539.396499023438,0.338961030095816,58.2796315950236,20.3184175099432,481.116867428414,CZ
80,CZ0210066,12.094626159668,451.569858398437,0,5.73300618326292,12.094626159668,445.836852215175,CZ
81,CZ0210100,63.1861468505859,788.08236328125,1.86535129634496,29.7009312115103,61.320795554241,758.38143206974,CZ
82,CZ0210101,3164.991328125,4881.9230859375,386.714167022709,97.3062607118843,2778.27716110229,4784.61682522562,CZ
83,CZ0210105,120.975084228516,876.2354296875,0.209491939544678,28.1846610225365,120.765592288971,848.050768664963,CZ
84,CZ0210107,43.4629248046875,577.659638671875,1.16162543904036,29.4970686913922,42.3012993656471,548.162569980483,CZ
85,CZ0210109,178.548376464844,888.7651171875,1.62,12.4134931567311,176.928376464844,876.351624030769,CZ
86,CZ0210111,18.0020118713379,549.576342773438,2.53245449021459,52.1423491004661,15.4695573811233,497.433993672971,CZ
87,CZ0210034,7.62579299926758,433.025419921875,0,1.08,7.62579299926758,431.945419921875,CZ
88,CZ0210044,2.52252290725708,272.503454589844,0,14.4852992827175,2.52252290725708,258.018155307126,CZ
89,CZ0210056,7.24727966308594,315.18650390625,0.0556206323951483,23.7740565100615,7.19165903069079,291.412447396188,CZ
90,CZ0612136,0.171695526838303,230.16814453125,0,15.2479951610416,0.171695526838303,214.920149370208,CZ
91,CZ0622162,3.54465156555176,319.315891113281,0,9.10125550372526,3.54465156555176,310.214635609556,CZ
92,CZ0210064,1.97482990264893,267.820510253906,0,16.6249634282291,1.97482990264893,251.195546825677,CZ
93,CZ0210118,1.23369770050049,264.482358398437,6.3854763284325e-4,0.321506685018539,1.23305915286765,264.160851713419,CZ
94,CZ0210173,0.710969581604004,250.153352050781,0,0,0.710969581604004,250.153352050781,CZ
95,CZ0623010,6.0174927520752,290.423605957031,0.00961010813713074,0.478510926961899,6.00788264393807,289.945095030069,CZ
96,CZ0623359,1.8681569480896,259.654174804688,0,46.777438674916,1.8681569480896,212.876736129771,CZ
97,CZ0210113,14.7449844360352,384.026879882813,0,8.56228239867836,14.7449844360352,375.464597484134,CZ
98,CZ0210114,20.438173828125,365.053952636719,0,0.36,20.438173828125,364.693952636719,CZ
99,CZ0210150,67.6072430419922,523.242685546875,0.434576097875834,23.7610379448999,67.1726669441164,499.481647601975,CZ
100,CZ0210152,208.713076171875,1391.59133789063,0.522085786121898,10.4441740375757,208.190990385753,1381.14716385305,CZ
101,CZ0210172,34.4948565673828,432.620991210938,0,2.16,34.4948565673828,430.460991210937,CZ
102,CZ0210175,928.91162109375,2096.941640625,141.567766027255,0.769778543114662,787.343855066495,2096.17186208189,CZ
103,CZ0210186,661.1178515625,2316.95490234375,3.77005164384842,7.7223281210661,657.347799918652,2309.23257422268,CZ
104,CZ0210409,19.7559928894043,392.627592773438,0.695451910830453,36.2341787457175,19.0605409785738,356.39341402772,CZ
105,CZ0210421,84.481787109375,556.022329101562,0.539979003667831,2.61520492851734,83.9418081057072,553.407124173045,CZ
106,CZ0210713,17.5691972351074,892.074111328125,0,9.60024360856041,17.5691972351074,882.473867719565,CZ
107,CZ0210714,44.135859375,563.089658203125,0.18,20.9315525957983,43.955859375,542.158105607327,CZ
108,CZ0210721,0.53844612121582,239.468576660156,0.0633055400848389,43.9065631002117,0.475140581130981,195.562013559944,CZ
109,CZ0210729,29.9307595825195,624.810322265625,0.654032493531704,2.30016575753689,29.2767270889878,622.510156508088,CZ
110,CZ0210153,31.5826803588867,457.449345703125,0.316128544807434,35.8842101815855,31.2665518140793,421.56513552154,CZ
111,CZ0210704,2.44145273208618,268.423374023437,0,4.76491578675108,2.44145273208618,263.658458236686,CZ
112,CZ0210719,1.81772472381592,265.075971679687,0,0.45,1.81772472381592,264.625971679687,CZ
113,CZ0210726,2.17804126739502,268.470065917969,0.269999704957008,1.98,1.90804156243801,266.490065917969,CZ
114,CZ0623711,0.00571892961859703,218.040073242188,0,0.09,0.00571892961859703,217.950073242188,CZ
115,CZ0623793,9.23931175231934,336.942817382813,0,0,9.23931175231934,336.942817382813,CZ
116,CZ0210708,73.76361328125,690.386088867187,0.297524615004659,30.8881539085935,73.4660886662453,659.497934958594,CZ
117,CZ0213004,1.86063920974731,259.183015136719,0.09,17.3105193033814,1.77063920974731,241.872495833337,CZ
118,CZ0213005,1.58018211364746,263.450808105469,0,46.047270757556,1.58018211364746,217.403537347913,CZ
119,CZ0210720,2.51034610748291,315.010942382813,0.0380034614726901,25.8695489735996,2.47234264601022,289.141393409213,CZ
120,CZ0713725,0.0568337881565094,222.556420898437,0,8.37344204647467,0.0568337881565094,214.18297885196299,CZ
121,CZ0713745,0.0223023238778114,226.129636230469,0,3.33,0.0223023238778114,222.799636230469,CZ
