SITECODE,forest_ha_inside,forest_ha_buffer
NL9801041,1769.940703125,8309.0925
NL9801044,162.7664501953125,756.3990234375
NL9801049,450.2402490234375,1781.0328515625
NL9801055,1313.23236328125,1900.2800390625
NL9801063,1233.65126953125,1886.56435546875
NL9801064,783.417041015625,2144.91744140625
NL9801071,1270.740322265625,1996.69833984375
NL9801072,317.992412109375,857.44265625
NL9801075,259.9785791015625,8124.610078125
NL9801076,134.43581909179687,1337.51478515625
NL9801079,949.441552734375,2663.75056640625
NL9801080,4427.488828125,5486.561015625
NL9802001,89511.85125,25494.800625
NL9802012,4076.9715234375,3320.4026953125
FI0200180,17.127854461669923,632.080107421875
FI0200181,15.143429718017579,421.370419921875
FI0200182,7.4061886596679685,365.20995849609375
FI0200184,2.6955671882629395,338.3998681640625
FI0200185,3.6905695724487306,464.7132861328125
FI0200186,3.337705535888672,328.56422607421877
FI0200187,5.654361305236816,573.0025341796875
NL9802019,2067.51234375,2371.1175
FI0200183,4.531855201721191,390.3759228515625
NL9802025,1439.481533203125,2947.39822265625
NL9802026,23193.21796875,9904.280625
NL9802031,1165.594306640625,1874.63056640625
NL9802033,4363.6285546875,7204.224375
NL9802035,853.84669921875,1904.2526953125
NL9802041,930.2438671875,1433.543115234375
NL9802046,550.523408203125,1190.055322265625
NL9802047,1537.70009765625,2812.280625
NL9802048,306.7733935546875,1107.96697265625
NL9802049,2250.29091796875,4529.703515625
NL9802054,3539.467265625,2201.2442578125
NL9802058,1153.4199609375,1734.07306640625
NL9802060,5326.1687109375,5004.5990625
NL9802062,751.502373046875,1426.986298828125
NL9802064,531.22517578125,1567.42611328125
NL9802065,116.48633422851563,1052.6361328125
NL9802066,99.81639404296875,669.85681640625
NL9802068,288.97556396484373,977.50283203125
NL9802099,206.758828125,714.371572265625
FI0200189,213.69434326171876,958.957119140625
FI0301007,62.99887939453125,738.725185546875
FI0301010,29.830660400390624,1882.26087890625
PLB040003,28722.9290625,45769.95
FI0301005,598.0182275390625,1871.73404296875
FI0301012,29.761004333496093,581.56224609375
FI0301013,31.63908416748047,592.92228515625
FI0301014,15.343523712158204,408.1423095703125
PLB040004,8598.37921875,6936.342890625
FI0302001,200.34116455078126,882.07435546875
FI0303016,43.81253723144531,692.171279296875
FI0305003,79.181630859375,769.14580078125
FI0303011,66.64676330566407,832.622958984375
FI0303017,343.80125244140623,3670.3255078125
FI0303018,2.488003177642822,667.309306640625
PLB060021,8480.17828125,4370.21859375
FI0303013,120.871669921875,949.211455078125
FI0312005,3.1580543518066406,337.491474609375
FI0312006,4.215997238159179,384.861533203125
FI0312007,1.7372078132629394,304.21061279296873
FI0303019,12.624561309814453,435.8741748046875
FI0306003,200.874287109375,1215.241259765625
FI0306004,10.274962005615235,373.9032861328125
FI0306006,827.695546875,3502.6948828125
FI0310001,108.96298461914063,1206.473291015625
FI0306008,25.368692321777345,546.5088720703125
FI0309001,845.218212890625,2313.00439453125
FI0312008,2.4320407104492188,311.761318359375
FI0306009,9.249548263549805,404.887412109375
FI0309006,48.10200073242188,662.12947265625
FI0310003,103.13372680664062,849.455419921875
FI0315001,38.754893188476565,663.441416015625
FI0315003,87.59275817871094,646.61783203125
FI0309008,45.849814453125,893.0499609375
FI0310005,102.61614990234375,855.24310546875
FI0310006,270.67060546875,1098.276240234375
FI0311002,3801.756796875,3700.173515625
FI0312002,99.52547607421874,1002.56484375
FI0312003,187.0401708984375,890.97767578125
FI0312004,157.29963134765626,1165.795048828125
FI0315002,72.01540283203126,700.3383837890625
FI0315005,78.03483947753907,648.6924462890624
FI0315006,74.56303344726562,600.710888671875
FI0315007,3.3421570587158205,318.37994384765625
FI0316005,239.1281103515625,1847.7847265625
FI0316008,1.6854182624816894,313.27305908203124
FI0318001,19.962954711914062,741.71671875
FI0319004,6.1542979431152345,344.2834204101562
FI0316001,223.038984375,1861.74966796875
FI0316004,14.377277526855469,532.1869189453125
FI0316007,298.04350341796874,1331.28263671875
FI0317001,472.938310546875,1985.87162109375
FI0318002,190.61244140625,793.694091796875
PLB080001,18367.0903125,7514.26453125
PLB080002,14336.11125,6257.821640625
PLB080004,20915.28,25317.6721875
PLB080005,12379.21453125,13037.00203125
PLB100001,11773.885078125,12139.948125
PLB100002,8801.216015625,7761.776484375
PLB100003,2734.72611328125,5229.708046875
FI0319002,115.30692993164062,952.15359375
FI0319003,15.550289154052734,496.724326171875
FI0320001,100.10785034179688,1039.81236328125
FI0320002,32.222598266601565,530.0300390625
FI0321001,222.51342041015624,1105.91912109375
FI0321002,51.397058715820314,613.1254833984375
FI0321003,77.48656127929688,1180.50486328125
PLB120001,4438.7883984375,3079.5809765625
FI0321004,155.06154052734374,1125.983056640625
FI0321008,621.105908203125,1476.58798828125
FI0321009,30.198081665039062,521.460263671875
FI0321010,6.186571655273437,363.4010375976562
FI0324001,166.54415405273437,746.40234375
FI0324002,55.49247619628906,539.464482421875
FI0321007,113.16804565429688,897.87005859375
PLB120002,7662.751171875,4106.5969921875
PLB120004,3336.749296875,4886.1516796875
PLB120005,4753.008984375,6615.60328125
FI0323001,221.53447265625,1330.1634375
FI0325001,6287.63625,3719.0221875
FI0325002,563.0780126953125,1581.75650390625
FI0325006,28.305112609863283,702.73920410156245
FI0325009,66.02167419433594,590.4069873046875
FI0326001,21.82752410888672,464.119892578125
FI0327002,79.72226257324219,597.305478515625
FI0327003,4390.3248046875,8378.941640625
PLB140008,20239.26328125,16980.42515625
FI0325007,64.11940795898437,635.9283544921875
FI0325008,44.868924865722654,518.271064453125
FI0326003,127.09515014648437,671.5963916015625
PLB140009,10511.543671875,8253.723515625
PLB140011,3688.962890625,4033.71140625
PLB140013,45171.18,10316.391328125
PLB140014,19510.91015625,19857.84046875
PLB140015,2615.78162109375,2106.50818359375
PLB160002,1204.952080078125,1623.4006640625
PLB160003,1121.34005859375,1429.9330078125
PLB160004,1177.972294921875,1459.387529296875
PLB180001,41818.6884375,11060.504296875
PLB180002,76167.613125,17869.86703125
PLB180003,33461.80875,9925.63734375
PLB180005,92463.024375,19553.87953125
FI0327004,108.7262841796875,662.445966796875
FI0327006,55.23135864257812,552.7696728515625
FI0327007,12.680893707275391,379.01759765625
FI0327008,56.457713012695315,529.925537109375
FI0328001,9.981256256103515,369.3111767578125
FI0328004,3173.36203125,5790.135234375
PLB200001,17250.82453125,5805.625078125
FI0328005,130.7048181152344,823.673583984375
FI0329001,80.49127807617188,622.181953125
FI0329002,2.295702781677246,334.2648559570313
FI0333001,11.583826446533203,398.557177734375
FI0334004,23.089185791015623,452.2749609375
FI0335003,8999.65828125,7760.1825
FI0335004,97.47474609375,677.304931640625
FI0331002,233.553427734375,869.567958984375
FI0333003,72.12266784667969,750.24791015625
PLB200002,94741.5375,17830.2684375
PLB200003,87457.5,15656.439375
PLB200005,9716.37890625,4693.7344921875
PLB200006,105413.72625,23088.15421875
PLB200007,10094.418984375,9203.344453125
PLB200008,4767.355546875,3600.518203125
PLB220001,29816.5415625,8163.6665625
PLB220002,23228.4684375,8441.87765625
PLB220003,13751.88046875,7197.056015625
FI0333004,481.8427734375,1779.7974609375
FI0333006,18.27247741699219,470.13943359375
FI0334001,199.08344970703126,1132.114658203125
FI0334003,138.2452734375,1764.5874609375
PLB280015,78065.9325,16059.2034375
FI0335001,154.97412231445313,827.1861328125
FI0336001,226.75405517578125,1158.58634765625
FI0335007,33.398083190917966,715.8204052734375
FI0335009,3.778059539794922,329.1842724609375
FI0335010,0.5377018833160401,286.37624267578127
FI0336002,28.515506286621093,480.9301171875
FI0336003,95.02172973632813,694.7799169921875
FI0336004,1758.3169921875,2346.13705078125
FI0336005,222.9147509765625,1420.531962890625
FI0336006,501.875771484375,1374.731630859375
FI0338003,64.6991180419922,681.9595751953125
FI0338004,38.21196807861328,555.2591748046875
FI0338005,21.360178070068358,570.252216796875
FI0339002,50.48601196289062,556.8954345703125
FI0339007,0.4172237920761108,278.38206298828123
FI0339008,0.09497584104537964,279.85225341796877
FI0339001,331.675400390625,1408.646162109375
PLB300001,17009.34046875,9654.43359375
PLB300002,31347.1575,17675.96625
PLB300003,10390.431796875,7994.520703125
PLB300004,4902.6884765625,4098.291328125
PLB300005,2376.46951171875,3531.8506640625
PLB300007,23254.62046875,8854.844765625
PLB300011,23392.80140625,8144.775
PLB300012,52214.180625,18514.75921875
PLB300013,2010.59630859375,3944.101640625
PLB300015,96855.525,20010.61546875
PLB300017,12638.075625,10907.62734375
FI0339004,457.6377392578125,1411.511572265625
FI0339005,77.517608642578125,718.7401318359375
FI0341010,35.160449523925784,729.2968505859375
FI0341003,4393.1366015625,4512.640078125
PLB320007,7432.4390625,3981.97828125
FI0341008,1074.924140625,2363.08376953125
FI0344003,140.35808715820312,916.302568359375
FI0344005,195.7024072265625,840.139892578125
FI0344007,413.0892333984375,1012.1762109375
FI0344008,192.9701513671875,987.5408203125
FI0345004,0.7017776727676391,328.41230712890626
FI0345005,1.2960608196258545,314.9327197265625
FI0344006,104.16132202148438,757.152509765625
FI0345001,17.88992385864258,746.193603515625
FI0347001,2.5192658042907716,314.65828125
PLB320008,61028.611875,12890.72671875
PLB320009,34348.51125,10882.12078125
PLB320010,19045.2825,9784.31203125
PLB320011,9661.811484375,5863.351640625
PLB320012,21625.2759375,8543.745703125
PLB320014,10142.597109375,4192.643671875
PLB320015,30059.2546875,11482.775859375
PLB320016,127923.37875,19093.23703125
PLB320017,14560.2478125,5537.775234375
PLB320018,2345.9023828125,2587.41509765625
PLB320019,113379.51375,26919.646875
PLB990002,120253.9725,23210.07046875
FI0345003,31.4910791015625,477.625517578125
FI0348001,306.22704345703124,1040.02857421875
FI0348002,536.93138671875,1628.07873046875
PLB990003,185184.7425,20705.98921875
FI0349004,47.292791748046874,648.32207519531255
FI0349006,140.7317321777344,791.682802734375
FI0355004,437.6216162109375,1337.6731640625
FI0349007,12.930645904541016,406.8628857421875
FI0350001,189.81059326171874,964.20392578125
FI0359001,1.5171006774902345,307.4187963867187
FI0361002,20.160773162841796,501.91875
FI0349008,10.848622055053712,380.8987646484375
PLC020001,10097.0803125,6689.492578125
PLC020002,15158.76328125,20515.48171875
PLC080001,19956.661875,9151.56703125
PLC120001,12515.506875,5831.3591015625
PLC120002,1182.523623046875,1845.7959375
PLC120003,4380.261328125,4626.4004296875
PLC140001,21035.716875,7585.138125
PLC180001,60114.954375,12331.7915625
PLC200004,46999.0771875,12515.2396875
PLH020002,3965.861953125,3411.12234375
PLH020003,573.033955078125,2254.48787109375
PLH020004,6206.975859375,3631.5052734375
FI0350002,120.12708251953126,1463.87724609375
FI0350004,28.209234924316405,443.770048828125
FI0351003,24.13126922607422,488.99091796875
FI0351004,37.07201019287109,598.0067138671875
FI0351005,1.2061406421661376,309.0400927734375
FI0351006,1.7888722229003906,332.861396484375
FI0350005,6.199043884277343,404.9417724609375
PLC990001,48519.073125,7501.45640625
FI0351001,35.13235198974609,510.481669921875
FI0353001,47.84442626953125,619.386591796875
FI0353002,11.591710510253906,1386.00580078125
FI0354001,63.03299743652344,629.1285205078125
PLH020034,970.381142578125,2380.83802734375
FI0354002,105.16815307617188,909.593876953125
FI0354003,56.70829467773437,689.4726416015625
FI0355001,19.23168685913086,440.334228515625
FI0355002,28.66763946533203,486.6862060546875
FI0354004,984.762509765625,3134.4444140625
FI0355005,155.144091796875,949.54271484375
FI0355007,534.030380859375,1703.43509765625
FI0401004,41.7473876953125,477.189580078125
FI0355006,439.9156494140625,1174.372470703125
FI0355009,47.006932983398436,667.76994140625
FI0355010,159.95735595703124,1166.6337890625
FI0355011,7.255638198852539,396.4254345703125
FI0356001,19.59756591796875,434.8558740234375
FI0356002,49.44925415039062,665.50095703125
FI0355008,1810.95521484375,3421.395703125
PLH020035,84.90606811523438,3685.314375
PLH020036,1340.11951171875,3561.9711328125
PLH020037,23994.7284375,11029.173046875
PLH020038,14264.81859375,7136.65125
PLH020040,3557.3776171875,3416.5564453125
PLH020041,41803.419375,14992.37859375
PLH020043,172.413193359375,1135.478232421875
PLH020047,2872.8551953125,2871.20513671875
PLH020049,33.05417266845703,419.541328125
PLH020050,5401.4375390625,9995.090625
